1/28/2021|MEXTRAC|09|295000000|11405244563.40|38.6618
1/28/2022|MEXTRAC|09|257350000|11136636990.01|43.2743
1/28/2025|MEXTRAC|09|289600000|14732519228.02|50.8720
1/29/2020|MEXTRAC|09|243750000|9272057335.93|38.0392
1/29/2021|MEXTRAC|09|306450000|11527283678.26|37.6155
1/29/2024|MEXTRAC|09|273500000|14025149126.58|51.2803
1/29/2025|MEXTRAC|09|290200000|14719103618.06|50.7206
1/3/2020|MEXTRAC|09|254300000|9480473385.34|37.2807
1/3/2022|MEXTRAC|09|265500000|12075829735.67|45.4834
1/3/2023|MEXTRAC|09|272750000|11868431703.60|43.5140
1/3/2024|MEXTRAC|09|277000000|14011046445.37|50.5814
1/3/2025|MEXTRAC|09|290500000|13977880721.28|48.1166
1/30/2020|MEXTRAC|09|243300000|9212933328.41|37.8666
1/30/2023|MEXTRAC|09|270650000|12955396680.00|47.8677
1/30/2024|MEXTRAC|09|274800000|14149391377.56|51.4898
1/30/2025|MEXTRAC|09|291550000|14902879271.35|51.1160
1/31/2020|MEXTRAC|09|243100000|9036820920.49|37.1733
1/31/2022|MEXTRAC|09|257150000|11257876931.14|43.7794
1/31/2023|MEXTRAC|09|270650000|12995025305.23|48.0141
1/31/2024|MEXTRAC|09|274800000|14155112046.10|51.5106
1/31/2025|MEXTRAC|09|293550000|14740114429.14|50.2133
1/4/2021|MEXTRAC|09|273950000|10748796892.68|39.2363
1/4/2022|MEXTRAC|09|265350000|12093143310.65|45.5743
1/4/2023|MEXTRAC|09|272750000|12133471560.46|44.4857
1/4/2024|MEXTRAC|09|274500000|13804267181.18|50.2888
1/5/2021|MEXTRAC|09|274000000|10775623746.14|39.3271
1/5/2022|MEXTRAC|09|265350000|12030886847.81|45.3397
1/5/2023|MEXTRAC|09|272800000|12300769208.12|45.0908
1/5/2024|MEXTRAC|09|273400000|13860663738.44|50.6974
1/6/2020|MEXTRAC|09|254300000|9453645718.97|37.1752
1/6/2021|MEXTRAC|09|273600000|10913339150.64|39.8879
1/6/2022|MEXTRAC|09|265350000|12016893491.99|45.2870
1/6/2023|MEXTRAC|09|272900000|12518654873.43|45.8727
1/6/2025|MEXTRAC|09|290500000|14138249677.79|48.6687
1/7/2020|MEXTRAC|09|253850000|9374285885.71|36.9284
1/7/2021|MEXTRAC|09|273200000|11046610410.20|40.4342
1/7/2022|MEXTRAC|09|265350000|11950765313.48|45.0377
1/7/2025|MEXTRAC|09|290500000|14334468255.35|49.3441
1/8/2020|MEXTRAC|09|252250000|9404815290.80|37.2837
1/8/2021|MEXTRAC|09|272300000|11150050047.39|40.9477
1/8/2024|MEXTRAC|09|273400000|13872787492.94|50.7417
1/8/2025|MEXTRAC|09|290500000|14186988024.30|48.8364
1/9/2020|MEXTRAC|09|251550000|9389648599.28|37.3272
1/9/2023|MEXTRAC|09|272550000|12663480235.91|46.4630
