11/10/2021|15/10/2021|NEMAK|A|5.15|11171564.00|57533554.60
11/11/2019|15/11/2019|FLOT|*|994.42|101570.00|101003239.00
11/11/2019|15/11/2019|FRMXNX|N|554.78|182000.00|100969960.00
11/11/2019|15/11/2019|IB1MXX|N|574.08|95000.00|54537600.00
11/12/2023|15/12/2023|BBAJIO|O|55.60|1831034.00|101805490.40
11/12/2023|15/12/2023|LACOMER|UBC|37.45|534526.00|20017998.70
11/2/2019|15/2/2019|FHIPO|14|13.25|11951499.00|158357361.75
11/3/2019|15/3/2019|ALSEA|*|42.05|1000000.00|42050000.00
11/3/2019|15/3/2019|GENTERA|*|14.80|1416238.00|20960322.40
11/3/2019|15/3/2019|OMA|B|105.00|2000000.00|210000000.00
11/3/2019|15/3/2019|OMA|B|105.90|1500000.00|158850000.00
11/3/2024|15/3/2024|EWJ|*|1160.59|570695.00|662342910.05
11/3/2024|15/3/2024|EWP|*|521.22|124517.00|64900750.74
11/3/2024|15/3/2024|FMTY|14|11.50|5000000.00|57500000.00
11/3/2024|15/3/2024|QQQ|*|7356.42|195113.00|1435333175.46
11/3/2024|15/3/2024|VOO|*|7892.43|181760.00|1434528076.80
11/3/2024|15/3/2024|XTMXX|N|6152.45|61788.00|380147580.60
11/7/2022|15/7/2022|BACHOCO|B|76.25|371489.00|28326036.25
11/7/2022|15/7/2022|IB01|N|2107.07|33609.00|70816515.63
11/9/2023|15/9/2023|XTMXX|N|5809.35|47546.00|276211355.10
11/9/2023|15/9/2023|XTMXX|N|5812.94|96371.00|560198840.74
11/9/2023|15/9/2023|XTMXX|N|5815.54|98044.00|570178803.76
12/10/2020|16/10/2020|CEU|N|2786.79|11044.00|30777308.76
12/10/2020|16/10/2020|FLOA|N|112.28|1488059.00|167079264.52
12/10/2020|16/10/2020|SDMXX|N|619.21|638931.00|395632464.51
12/10/2020|16/10/2020|SDMXX|N|619.22|2590000.00|1603779800.00
12/10/2020|16/10/2020|VUAA|N|1338.86|22037.00|29504457.82
12/10/2020|16/10/2020|ZPR1|N|2147.52|71174.00|152847588.48
12/12/2022|16/12/2022|TLEVISA|CPO|21.45|2250000.00|48262500.00
12/2/2024|16/2/2024|IB1MXX|N|7519.20|31449.00|236471320.80
12/2/2024|16/2/2024|MBIL|N|10665.57|19733.00|210463692.81
12/2/2024|16/2/2024|TLEVISA|CPO|10.42|3279967.00|34177256.14
12/2/2024|16/2/2024|VGIT|*|998.07|400500.00|399727035.00
12/2/2024|16/2/2024|VMSTX|N|2582.19|59397.00|153374339.43
12/2/2024|16/2/2024|VMSTX|N|2585.26|60216.00|155674016.16
12/2/2024|16/2/2024|XTMXX|N|6092.22|20707.00|126151599.54
12/2/2024|16/2/2024|XTMXX|N|6101.99|64257.00|392095571.43
12/4/2021|16/4/2021|AGGU|N|113.31|4409760.00|499669905.60
12/4/2021|16/4/2021|MEGA|CPO|74.95|2000000.00|149900000.00
12/4/2021|16/4/2021|MEGA|CPO|74.95|477188.00|35765240.60
12/4/2021|16/4/2021|MEGA|CPO|75.00|800000.00|60000000.00
12/4/2021|16/4/2021|MEGA|CPO|75.15|1000000.00|75150000.00
12/4/2021|16/4/2021|MEGA|CPO|75.25|2000000.00|150500000.00
12/4/2021|16/4/2021|MEGA|CPO|76.00|1000000.00|76000000.00
12/6/2023|16/6/2023|FCFE|18|28.30|800000.00|22640000.00
12/6/2023|16/6/2023|VMSTX|N|2390.45|61164.00|146209483.80
12/6/2023|16/6/2023|VMSTX|N|2394.95|106447.00|254935242.65
12/7/2021|16/7/2021|IAU|*|690.10|1559217.00|1076015651.70
12/7/2021|16/7/2021|MTUM|*|3468.65|21589.00|74884684.85
12/7/2021|16/7/2021|ZPR1|N|2029.27|14927.00|30290913.29
12/8/2024|16/8/2024|ALFA|A|$10.96|2,000,000|$21,920,000
12/8/2024|16/8/2024|ALFA|A|$11.36|2,000,000|$22,720,000
12/8/2024|16/8/2024|BBIL|N|$2,097.97|33,692|$70,684,805.24
12/8/2024|16/8/2024|BBIL|N|$2,113.09|114,590|$242,138,983.1
12/8/2024|16/8/2024|VDST|N|$1,031.68|68,474|$70,643,256.32
12/8/2024|16/8/2024|VDST|N|$1,039.17|233,053|$242,181,686.01
12/8/2024|16/8/2024|VMSTX|N|$2,731.29|87,907|$240,099,510.03
