Eventos relevantes de GLOB1PI: COMPROMISO DE INVERSIÓN EN CIERTO FONDO SERIE G| |https://biva.mx/storage/information-send/EVENRELXBRL/FACTIN/Eventos_relevantes_Archivo_XBRL_98947_1778709439154.pdf|Wed, 13/05/2026 21:57:18 
Eventos relevantes de GLOB1PI: COMPROMISO DE INVERSIÓN EN CIERTO FONDO SERIE H| |https://biva.mx/storage/information-send/EVENRELXBRL/FACTIN/Eventos_relevantes_Archivo_XBRL_97596_1777335442391.pdf|Tue, 28/04/2026 00:17:21 
Eventos relevantes de GLOB2PI: COMPROMISO DE INVERSIÓN A CIERTO FONDO SERIE A| |https://biva.mx/storage/information-send/EVENRELXBRL/BMULTI/Eventos_relevantes_Archivo_XBRL_98325_1778004654554.pdf|Tue, 05/05/2026 18:10:54 
Eventos relevantes de GLOB2PI: COMPROMISO DE INVERSIÓN A CIERTO FONDO SERIE A| |https://biva.mx/storage/information-send/EVENRELXBRL/BMULTI/Eventos_relevantes_Archivo_XBRL_98326_1778004826605.pdf|Tue, 05/05/2026 18:13:46 
Eventos relevantes de WSMX3CK: Valuación independiente del Fideicomiso F/6239 (Clave de pizarra WSMX3CK 21D)| |https://biva.mx/storage/information-send/EVENRELXBRL/BMULTI/Eventos_relevantes_Archivo_XBRL_98188_1777614091887.pdf|Fri, 01/05/2026 05:41:31 
FEFA|23/04/2026|18:55:15|HR Ratings retiró la calificación de HR AAA con Perspectiva Estable para la emisión FEFA 20-4|https://biva.mx/storage/information-send/EVENRELXBRL/FEFA/Eventos_relevantes_Archivo_XBRL_97416_1776970516049.pdf
FHIPOCB|25/04/2026|00:04:47|REPORTE DE FLUJOS RESPECTO DE LOS CRÉDITOS HIPOTECARIOS QUE AMPARAN LOS CERTIFICADOS BURSÁTILES FIDUCIARIOS FHIPOCB 20|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_97524_1777075489511.pdf
FHIPOCB|25/04/2026|00:04:48|REPORTE DE FLUJOS RESPECTO DE LOS CRÉDITOS HIPOTECARIOS QUE AMPARAN LOS CERTIFICADOS BURSÁTILES FIDUCIARIOS FHIPOCB 21-2|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_97526_1777075493295.pdf
FHIPOCB|25/04/2026|00:04:48|REPORTE DE FLUJOS RESPECTO DE LOS CRÉDITOS HIPOTECARIOS QUE AMPARAN LOS CERTIFICADOS BURSÁTILES FIDUCIARIOS FHIPOCB 21|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_97525_1777075489511.pdf
FHIPOCB|25/04/2026|00:04:49|REPORTE DE FLUJOS RESPECTO DE LOS CRÉDITOS HIPOTECARIOS QUE AMPARAN LOS CERTIFICADOS BURSÁTILES FIDUCIARIOS FHIPOCB 21-3|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_97527_1777075494366.pdf
