DATE,BIVA VALUE,BIVA VOLUME,BIVA TRADES,BMV VALUE,BMV VOLUME,BMV TRADES,BIVA VALUE MARKET SHARE,BIVA VOLUME MARKET SHARE,BIVA TRADES MARKET SHARE,BMV VALUE MARKET SHARE,BMV VOLUME MARKET SHARE,BMV TRADES MARKET SHARE
25/09/2018,"408,829,585.95","561,654",633,"13,152,460,083.53","297,331,521","305,994",3.01,0.19,0.21,96.99,99.81,99.79
26/09/2018,"876,574,276.20","9,081,825",687,"10,307,336,378.36","216,343,707","318,475",7.84,4.03,0.22,92.16,95.97,99.78
27/09/2018,"53,338,945.57","1,079,810",695,"14,128,638,643.26","270,276,961","299,595",0.38,0.40,0.23,99.62,99.60,99.77
28/09/2018,"93,384,350.80","769,524",925,"13,292,594,773.48","312,704,442","311,540",0.70,0.25,0.30,99.30,99.75,99.70
01/10/2018,"231,395,034.27","769,228",484,"11,894,088,625.66","247,762,775","272,789",1.91,0.31,0.18,98.09,99.69,99.82
02/10/2018,"869,094,062.44","772,733",365,"14,737,860,561.28","218,274,720","330,782",5.57,0.35,0.11,94.43,99.65,99.89
03/10/2018,"515,360,200.55","6,542,670","13,007","15,424,301,953.66","264,273,076","385,765",3.23,2.42,3.26,96.77,97.58,96.74
04/10/2018,"44,772,974.19","930,482","1,347","14,175,945,744.11","255,090,107","387,538",0.31,0.36,0.35,99.69,99.64,99.65
05/10/2018,"31,482,389.67","603,129",705,"17,109,611,121.62","216,103,919","360,820",0.18,0.28,0.20,99.82,99.72,99.80
08/10/2018,"297,895,225.36","1,816,307",441,"11,664,506,514.92","238,565,407","295,862",2.49,0.76,0.15,97.51,99.24,99.85
09/10/2018,"720,148,651.75","848,172",363,"11,481,801,124.14","204,617,288","338,482",5.90,0.41,0.11,94.10,99.59,99.89
10/10/2018,"1,034,943,689.57","974,096",717,"19,836,938,286.04","231,713,741","352,412",4.96,0.42,0.20,95.04,99.58,99.80
11/10/2018,"62,126,660.42","1,002,611","1,907","27,970,193,162.42","312,383,519","624,235",0.22,0.32,0.30,99.78,99.68,99.70
12/10/2018,"40,210,547.13","302,136","1,795","13,517,897,650.56","241,096,444","459,172",0.30,0.13,0.39,99.70,99.87,99.61
15/10/2018,"126,461,889.84","1,664,802",762,"8,799,306,321.38","182,583,563","394,473",1.42,0.90,0.19,98.58,99.10,99.81
16/10/2018,"90,254,624.45","1,894,136","1,218","11,063,853,164.46","212,652,029","445,620",0.81,0.88,0.27,99.19,99.12,99.73
17/10/2018,"38,304,992.16","381,232",844,"10,899,870,888.25","216,047,114","471,173",0.35,0.18,0.18,99.65,99.82,99.82
18/10/2018,"65,291,010.24","2,067,652","1,073","16,444,611,103.49","253,826,170","496,192",0.40,0.81,0.22,99.60,99.19,99.78
19/10/2018,"267,351,330.55","683,734","1,624","14,000,516,364.96","282,851,262","492,816",1.87,0.24,0.33,98.13,99.76,99.67
22/10/2018,"252,426,371.93","1,561,107","1,960","11,895,999,674.80","226,533,906","395,594",2.08,0.68,0.49,97.92,99.32,99.51
