2025/06/02-2025/06/06|PUBLISHED|05/06/2025|IUHC|N|202.74|140,530.00|28,491,052.20|
2025/06/02-2025/06/06|PUBLISHED|05/06/2025|IUIS|N|230.43|97,160.00|22,388,578.80|
2025/06/09-2025/06/13|PUBLISHED|10/06/2025|GRUMA|B|329.01|300,180.00|98,762,221.80|
2025/06/09-2025/06/13|PUBLISHED|10/06/2025|GRUMA|B|330.00|200,000.00|66,000,000.00|
2025/06/09-2025/06/13|PUBLISHED|11/06/2025|BBAJIO|O|45.00|3,094,985.00|139,274,325.00|
2025/06/09-2025/06/13|PUBLISHED|12/06/2025|ALFA|A|14.40|30,769,900.00|443,086,560.00|
2025/06/09-2025/06/13|PUBLISHED|12/06/2025|ALFA|A|14.40|4,630,100.00|66,673,440.00|
2025/06/09-2025/06/13|PUBLISHED|12/06/2025|FIHO|12|8.50|8,683,622.00|73,810,787.00|
2025/06/09-2025/06/13|PUBLISHED|12/06/2025|LAB|B|21.40|14,305,200.00|306,131,280.00|
2025/06/09-2025/06/13|PUBLISHED|12/06/2025|LAB|B|21.40|2,702,334.00|57,829,947.60|
2025/06/09-2025/06/13|PUBLISHED|12/06/2025|LAB|B|21.40|3,194,800.00|68,368,720.00|
2025/06/16-2025/06/20|PUBLISHED|16/06/2025|LAB|B|20.65|4,100,000.00|84,665,000.00|
2025/06/16-2025/06/20|PUBLISHED|16/06/2025|NAFTRAC|ISHRS|57.48|2,455,094.00|141,118,803.12|
2025/06/16-2025/06/20|PUBLISHED|18/06/2025|FIBRAPL|14|67.00|2,367,000.00|158,589,000.00|
2025/06/16-2025/06/20|PUBLISHED|20/06/2025|VISTA|A|974.50|27,400.00|26,701,300.00|
2025/06/23-2025/06/27|HIDDEN|24/06/2025|SITES1|A-1|16.70|202,500,000.00|3,381,750,000.00|INBUR
2025/06/30-2025/07/04|PUBLISHED|01/07/2025|IVVPESO|ISHRS|125.10|2,000,000.00|250,200,000.00|
2025/06/30-2025/07/04|PUBLISHED|01/07/2025|IVVPESO|ISHRS|125.10|700,000.00|87,570,000.00|
2025/07/14-2025/07/18|PUBLISHED|16/07/2025|MEXTRAC|9|55.58|428,651.00|23,824,422.58|
2025/07/14-2025/07/18|PUBLISHED|18/07/2025|FHIPO|14|13.15|16,000,000.00|210,400,000.00|
2025/07/21-2025/07/25|HIDDEN|24/07/2025|ELEKTRA|*|369.05|30,000.00|11,071,500.00|
2025/07/21-2025/07/25|PUBLISHED|21/07/2025|MEGA|CPO|53.80|259,000.00|13,934,200.00|
2025/07/28-2025/08/01|HIDDEN|01/08/2025|BIMBO|A|55.03|833,983.00|45,894,084.49|
2025/07/28-2025/08/01|HIDDEN|01/08/2025|GCARSO|A1|130.60|115,408.00|15,072,284.80|
2025/07/28-2025/08/01|PUBLISHED|01/08/2025|CHDRAUI|B|152.98|103,214.00|15,789,677.72|
2025/07/28-2025/08/01|PUBLISHED|01/08/2025|NAFTRAC|ISHRS|56.80|4,075,539.00|231,490,615.20|
2025/07/28-2025/08/01|PUBLISHED|29/07/2025|R|A|144.25|320,444.00|46,224,047.00|
2025/08/04-2025/08/08|PUBLISHED|04/08/2025|WALMEX|*|53.55|9,168,000.00|490,946,400.00|
2025/08/04-2025/08/08|PUBLISHED|07/08/2025|NAFTRAC|ISHRS|57.72|1,100,000.00|63,492,000.00|
2025/08/04-2025/08/08|PUBLISHED|07/08/2025|NAFTRAC|ISHRS|57.76|1,100,000.00|63,536,000.00|
2025/08/04-2025/08/08|PUBLISHED|07/08/2025|NAFTRAC|ISHRS|57.78|1,100,000.00|63,558,000.00|
2025/08/04-2025/08/08|PUBLISHED|07/08/2025|NAFTRAC|ISHRS|57.80|1,100,000.00|63,580,000.00|
2025/08/04-2025/08/08|PUBLISHED|07/08/2025|NAFTRAC|ISHRS|57.83|1,100,000.00|63,613,000.00|
2025/08/04-2025/08/08|PUBLISHED|07/08/2025|NAFTRAC|ISHRS|57.86|1,100,000.00|63,646,000.00|
2025/08/04-2025/08/08|PUBLISHED|07/08/2025|NAFTRAC|ISHRS|57.93|1,100,000.00|63,723,000.00|
2025/08/04-2025/08/08|PUBLISHED|07/08/2025|NAFTRAC|ISHRS|57.98|1,100,000.00|63,778,000.00|
2025/08/04-2025/08/08|PUBLISHED|07/08/2025|NAFTRAC|ISHRS|58.08|1,100,000.00|63,888,000.00|
2025/08/04-2025/08/08|PUBLISHED|07/08/2025|NAFTRAC|ISHRS|58.18|1,100,000.00|63,998,000.00|
2025/08/04-2025/08/08|PUBLISHED|07/08/2025|VISTA|A|825.64|75,000.00|61,923,000.00|
2025/08/04-2025/08/08|PUBLISHED|08/08/2025|NAFTRAC|ISHRS|58.04|1,100,000.00|63,844,000.00|
2025/08/04-2025/08/08|PUBLISHED|08/08/2025|NAFTRAC|ISHRS|58.13|1,100,000.00|63,943,000.00|
2025/08/04-2025/08/08|PUBLISHED|08/08/2025|NAFTRAC|ISHRS|58.14|1,100,000.00|63,954,000.00|
2025/08/04-2025/08/08|PUBLISHED|08/08/2025|NAFTRAC|ISHRS|58.16|1,100,000.00|63,976,000.00|
2025/08/04-2025/08/08|PUBLISHED|08/08/2025|NAFTRAC|ISHRS|58.18|1,100,000.00|63,998,000.00|
2025/08/04-2025/08/08|PUBLISHED|08/08/2025|NAFTRAC|ISHRS|58.23|1,100,000.00|64,053,000.00|
2025/08/04-2025/08/08|PUBLISHED|08/08/2025|NAFTRAC|ISHRS|58.25|1,100,000.00|64,075,000.00|
2025/08/04-2025/08/08|PUBLISHED|08/08/2025|VISTA|A|790.03|29,242.00|23,102,057.26|
2025/08/11-2025/08/15|PUBLISHED|11/08/2025|BBAJIO|O|42.50|1,000,000.00|42,500,000.00|
2025/08/11-2025/08/15|PUBLISHED|11/08/2025|NAFTRAC|ISHRS|58.06|1,100,000.00|63,866,000.00|
2025/08/11-2025/08/15|PUBLISHED|11/08/2025|NAFTRAC|ISHRS|58.10|1,100,000.00|63,910,000.00|
2025/08/11-2025/08/15|PUBLISHED|11/08/2025|NAFTRAC|ISHRS|58.14|1,100,000.00|63,954,000.00|
2025/08/11-2025/08/15|PUBLISHED|11/08/2025|NAFTRAC|ISHRS|58.20|1,100,000.00|64,020,000.00|
2025/08/11-2025/08/15|PUBLISHED|11/08/2025|NAFTRAC|ISHRS|58.22|1,100,000.00|64,042,000.00|
2025/08/11-2025/08/15|PUBLISHED|11/08/2025|NAFTRAC|ISHRS|58.25|1,100,000.00|64,075,000.00|
2025/08/11-2025/08/15|PUBLISHED|11/08/2025|NAFTRAC|ISHRS|58.27|1,100,000.00|64,097,000.00|
2025/08/11-2025/08/15|PUBLISHED|11/08/2025|NAFTRAC|ISHRS|58.35|1,100,000.00|64,185,000.00|
2025/08/11-2025/08/15|PUBLISHED|11/08/2025|NAFTRAC|ISHRS|58.37|1,100,000.00|64,207,000.00|
2025/08/11-2025/08/15|PUBLISHED|12/08/2025|VISTA|A|798.22|14,048.00|11,213,394.56|
2025/08/11-2025/08/15|PUBLISHED|12/08/2025|VISTA|A|802.08|17,567.00|14,090,139.36|
2025/08/11-2025/08/15|PUBLISHED|12/08/2025|VISTA|A|804.41|16,656.00|13,398,252.96|
2025/08/11-2025/08/15|PUBLISHED|13/08/2025|NAFTRAC|ISHRS|58.45|1,100,000.00|64,295,000.00|
2025/08/11-2025/08/15|PUBLISHED|13/08/2025|NAFTRAC|ISHRS|58.50|1,100,000.00|64,350,000.00|
2025/08/11-2025/08/15|PUBLISHED|13/08/2025|NAFTRAC|ISHRS|58.51|1,100,000.00|64,361,000.00|
2025/08/11-2025/08/15|PUBLISHED|13/08/2025|NAFTRAC|ISHRS|58.54|1,100,000.00|64,394,000.00|
2025/08/11-2025/08/15|PUBLISHED|14/08/2025|VISTA|A|780.42|100,000.00|78,042,000.00|
2025/08/11-2025/08/15|PUBLISHED|15/08/2025|VISTA|A|774.89|21,501.00|16,660,909.89|
2025/08/11-2025/08/15|PUBLISHED|15/08/2025|VISTA|A|775.85|15,000.00|11,637,750.00|
2025/08/11-2025/08/15|PUBLISHED|15/08/2025|VISTA|A|777.17|36,501.00|28,367,482.17|
2025/08/18-2025/08/22|PUBLISHED|18/08/2025|VISTA|A|775.46|31,557.00|24,471,191.22|
2025/08/18-2025/08/22|PUBLISHED|18/08/2025|VISTA|A|784.26|27,022.00|21,192,273.72|
2025/08/18-2025/08/22|PUBLISHED|18/08/2025|VISTA|A|787.43|20,500.00|16,142,315.00|
2025/08/18-2025/08/22|PUBLISHED|19/08/2025|CEMEX|CPO|16.24|9,000,000.00|146,160,000.00|
2025/08/18-2025/08/22|PUBLISHED|19/08/2025|NAFTRAC|ISHRS|58.66|7,200,000.00|422,352,000.00|
2025/08/18-2025/08/22|PUBLISHED|19/08/2025|VISTA|A|761.24|14,901.00|11,343,237.24|
2025/08/18-2025/08/22|PUBLISHED|19/08/2025|VISTA|A|764.62|37,140.00|28,397,986.80|
2025/08/18-2025/08/22|PUBLISHED|20/08/2025|VISTA|A|750.53|15,000.00|11,257,950.00|
2025/08/18-2025/08/22|PUBLISHED|21/08/2025|VISTA|A|759.22|36,289.00|27,551,334.58|
2025/08/18-2025/08/22|PUBLISHED|22/08/2025|AMX|B|18.80|14,908,486.00|280,279,536.80|
2025/08/18-2025/08/22|PUBLISHED|22/08/2025|VISTA|A|754.15|14,123.00|10,650,860.45|
2025/08/18-2025/08/22|PUBLISHED|22/08/2025|VISTA|A|755.46|20,000.00|15,109,200.00|
2025/08/25-2025/08/29|PUBLISHED|25/08/2025|VISTA|A|727.54|20,000.00|14,550,800.00|
2025/08/25-2025/08/29|PUBLISHED|25/08/2025|VISTA|A|728.13|20,852.00|15,182,966.76|
2025/08/25-2025/08/29|PUBLISHED|25/08/2025|VISTA|A|732.63|20,000.00|14,652,600.00|
2025/08/25-2025/08/29|PUBLISHED|25/08/2025|VISTA|A|734.82|20,000.00|14,696,400.00|
2025/08/25-2025/08/29|PUBLISHED|26/08/2025|VISTA|A|735.44|17,963.00|13,210,708.72|
2025/08/25-2025/08/29|PUBLISHED|29/08/2025|F1CC|15|60.34|20,714,282.00|1,249,899,775.88|
2025/08/25-2025/08/29|PUBLISHED|29/08/2025|F1CC|15|60.35|20,714,282.00|1,250,106,918.70|
2025/08/25-2025/08/29|PUBLISHED|29/08/2025|MEXTRAC|9|56.48|1,240,862.00|70,083,885.76|
2025/09/01-2025/09/05|PUBLISHED|02/09/2025|FPLUS|16|5.10|2,290,000.00|11,679,000.00|
2025/09/08-2025/09/12|PUBLISHED|08/09/2025|ANB|*|1117.26|28,608.00|31,962,574.08|
2025/09/08-2025/09/12|PUBLISHED|08/09/2025|NAFTRAC|ISHRS|60.46|1,500,000.00|90,690,000.00|
2025/09/08-2025/09/12|PUBLISHED|09/09/2025|LAB|B|21.50|1,200,000.00|25,800,000.00|
2025/09/08-2025/09/12|PUBLISHED|10/09/2025|ANB|*|1098.98|49,256.00|54,131,358.88|
