Date,Open,High,Low,Close,Adj Close,Volume,Gain/Loss,Percentage,YTD
30/12/1927,17.66,17.66,17.66,17.66,17.66,0,,,
03/01/1928,17.76,17.76,17.76,17.76,17.76,0,0.1,0.566251416,0.566251
04/01/1928,17.719999,17.719999,17.719999,17.719999,17.719999,0,-0.040001,-0.225230856,0.339745
05/01/1928,17.549999,17.549999,17.549999,17.549999,17.549999,0,-0.17,-0.959368,-0.622882
06/01/1928,17.66,17.66,17.66,17.66,17.66,0,0.110001,0.626786361,0
09/01/1928,17.5,17.5,17.5,17.5,17.5,0,-0.16,-0.906002265,-0.906002
10/01/1928,17.370001,17.370001,17.370001,17.370001,17.370001,0,-0.129999,-0.742851429,-1.642123
11/01/1928,17.35,17.35,17.35,17.35,17.35,0,-0.020001,-0.115146798,-1.755379
12/01/1928,17.469999,17.469999,17.469999,17.469999,17.469999,0,0.119999,0.691636888,-1.075883
13/01/1928,17.58,17.58,17.58,17.58,17.58,0,0.110001,0.62965659,-0.453001
16/01/1928,17.290001,17.290001,17.290001,17.290001,17.290001,0,-0.289999,-1.649596132,-2.095125
17/01/1928,17.299999,17.299999,17.299999,17.299999,17.299999,0,0.009998,0.057825329,-2.038511
18/01/1928,17.26,17.26,17.26,17.26,17.26,0,-0.039999,-0.231208106,-2.265006
19/01/1928,17.379999,17.379999,17.379999,17.379999,17.379999,0,0.119999,0.695243337,-1.58551
20/01/1928,17.48,17.48,17.48,17.48,17.48,0,0.100001,0.57537978,-1.019253
23/01/1928,17.639999,17.639999,17.639999,17.639999,17.639999,0,0.159999,0.915326087,-0.113256
24/01/1928,17.709999,17.709999,17.709999,17.709999,17.709999,0,0.07,0.396825419,0.28312
25/01/1928,17.52,17.52,17.52,17.52,17.52,0,-0.189999,-1.072834617,-0.792752
26/01/1928,17.629999,17.629999,17.629999,17.629999,17.629999,0,0.109999,0.627848174,-0.169881
27/01/1928,17.690001,17.690001,17.690001,17.690001,17.690001,0,0.060002,0.340340348,0.169881
30/01/1928,17.49,17.49,17.49,17.49,17.49,0,-0.200001,-1.130587839,-0.962627
31/01/1928,17.57,17.57,17.57,17.57,17.57,0,0.08,0.457404231,-0.509626
01/02/1928,17.530001,17.530001,17.530001,17.530001,17.530001,0,-0.039999,-0.227655094,-0.736121
02/02/1928,17.629999,17.629999,17.629999,17.629999,17.629999,0,0.099998,0.570439214,-0.169881
03/02/1928,17.4,17.4,17.4,17.4,17.4,0,-0.229999,-1.304588843,-1.472254
06/02/1928,17.450001,17.450001,17.450001,17.450001,17.450001,0,0.050001,0.287362069,-1.189122
07/02/1928,17.440001,17.440001,17.440001,17.440001,17.440001,0,-0.01,-0.057306587,-1.245747
08/02/1928,17.49,17.49,17.49,17.49,17.49,0,0.049999,0.286691497,-0.962627
09/02/1928,17.549999,17.549999,17.549999,17.549999,17.549999,0,0.059999,0.343047456,-0.622882
10/02/1928,17.540001,17.540001,17.540001,17.540001,17.540001,0,-0.009998,-0.056968664,-0.679496
14/02/1928,17.440001,17.440001,17.440001,17.440001,17.440001,0,-0.1,-0.570125395,-1.245747
15/02/1928,17.4,17.4,17.4,17.4,17.4,0,-0.040001,-0.229363519,-1.472254
16/02/1928,17.35,17.35,17.35,17.35,17.35,0,-0.05,-0.287356322,-1.755379
17/02/1928,17.040001,17.040001,17.040001,17.040001,17.040001,0,-0.309999,-1.786737752,-3.510753
20/02/1928,16.950001,16.950001,16.950001,16.950001,16.950001,0,-0.09,-0.528168983,-4.020379
21/02/1928,17.110001,17.110001,17.110001,17.110001,17.110001,0,0.16,0.943952747,-3.114377
23/02/1928,17.129999,17.129999,17.129999,17.129999,17.129999,0,0.019998,0.116879011,-3.001138
24/02/1928,17.18,17.18,17.18,17.18,17.18,0,0.050001,0.291891436,-2.718007
27/02/1928,17.110001,17.110001,17.110001,17.110001,17.110001,0,-0.069999,-0.407444703,-3.114377
28/02/1928,17.16,17.16,17.16,17.16,17.16,0,0.049999,0.292220906,-2.831257
29/02/1928,17.26,17.26,17.26,17.26,17.26,0,0.1,0.582750583,-2.265006
01/03/1928,17.299999,17.299999,17.299999,17.299999,17.299999,0,0.039999,0.231743917,-2.038511
02/03/1928,17.299999,17.299999,17.299999,17.299999,17.299999,0,0,0,-2.038511
05/03/1928,17.57,17.57,17.57,17.57,17.57,0,0.270001,1.560699512,-0.509626
06/03/1928,17.67,17.67,17.67,17.67,17.67,0,0.1,0.569151964,0.056625
07/03/1928,17.58,17.58,17.58,17.58,17.58,0,-0.09,-0.509337861,-0.453001
08/03/1928,17.639999,17.639999,17.639999,17.639999,17.639999,0,0.059999,0.34129124,-0.113256
09/03/1928,17.93,17.93,17.93,17.93,17.93,0,0.290001,1.643996692,1.528879
12/03/1928,18,18,18,18,18,0,0.07,0.390407139,1.925255
13/03/1928,17.92,17.92,17.92,17.92,17.92,0,-0.08,-0.444444444,1.472254
14/03/1928,17.93,17.93,17.93,17.93,17.93,0,0.01,0.055803571,1.528879
15/03/1928,18.07,18.07,18.07,18.07,18.07,0,0.14,0.780814278,2.321631
16/03/1928,18.26,18.26,18.26,18.26,18.26,0,0.19,1.051466519,3.397508
19/03/1928,18.360001,18.360001,18.360001,18.360001,18.360001,0,0.100001,0.547650602,3.963766
20/03/1928,18.459999,18.459999,18.459999,18.459999,18.459999,0,0.099998,0.544651386,4.530006
21/03/1928,18.65,18.65,18.65,18.65,18.65,0,0.190001,1.029257911,5.605889
22/03/1928,18.6,18.6,18.6,18.6,18.6,0,-0.05,-0.268096515,5.322763
23/03/1928,18.780001,18.780001,18.780001,18.780001,18.780001,0,0.180001,0.967747312,6.342022
26/03/1928,19.049999,19.049999,19.049999,19.049999,19.049999,0,0.269998,1.437688954,7.870889
27/03/1928,18.940001,18.940001,18.940001,18.940001,18.940001,0,-0.109998,-0.577417353,7.248024
28/03/1928,18.889999,18.889999,18.889999,18.889999,18.889999,0,-0.050002,-0.264002098,6.964887
29/03/1928,18.950001,18.950001,18.950001,18.950001,18.950001,0,0.060002,0.317638979,7.304649
30/03/1928,19.280001,19.280001,19.280001,19.280001,19.280001,0,0.33,1.74142471,9.173279
02/04/1928,18.91,18.91,18.91,18.91,18.91,0,-0.370001,-1.919092224,7.078143
03/04/1928,19.02,19.02,19.02,19.02,19.02,0,0.11,0.581702803,7.701019
04/04/1928,18.99,18.99,18.99,18.99,18.99,0,-0.03,-0.157728707,7.531144
05/04/1928,19.23,19.23,19.23,19.23,19.23,0,0.24,1.263823065,8.890147
09/04/1928,19.27,19.27,19.27,19.27,19.27,0,0.04,0.20800832,9.116648
10/04/1928,19.1,19.1,19.1,19.1,19.1,0,-0.17,-0.882200311,8.15402
11/04/1928,19.440001,19.440001,19.440001,19.440001,19.440001,0,0.340001,1.780109948,10.079281
12/04/1928,19.41,19.41,19.41,19.41,19.41,0,-0.030001,-0.154326124,9.9094
13/04/1928,19.73,19.73,19.73,19.73,19.73,0,0.32,1.648634724,11.721404
16/04/1928,19.68,19.68,19.68,19.68,19.68,0,-0.05,-0.253421186,11.438279
17/04/1928,19.52,19.52,19.52,19.52,19.52,0,-0.16,-0.81300813,10.532276
18/04/1928,19.52,19.52,19.52,19.52,19.52,0,0,0,10.532276
19/04/1928,19.629999,19.629999,19.629999,19.629999,19.629999,0,0.109999,0.563519467,11.155147
20/04/1928,19.34,19.34,19.34,19.34,19.34,0,-0.289999,-1.477325597,9.513024
23/04/1928,19.15,19.15,19.15,19.15,19.15,0,-0.19,-0.982419855,8.437146
24/04/1928,19.25,19.25,19.25,19.25,19.25,0,0.1,0.522193211,9.003398
25/04/1928,19.33,19.33,19.33,19.33,19.33,0,0.08,0.415584416,9.456399
26/04/1928,19.469999,19.469999,19.469999,19.469999,19.469999,0,0.139999,0.724257631,10.249145
27/04/1928,19.68,19.68,19.68,19.68,19.68,0,0.210001,1.078587626,11.438279
30/04/1928,19.75,19.75,19.75,19.75,19.75,0,0.07,0.355691057,11.834655
01/05/1928,19.780001,19.780001,19.780001,19.780001,19.780001,0,0.030001,0.151903797,12.004536
02/05/1928,19.83,19.83,19.83,19.83,19.83,0,0.049999,0.252775518,12.287656
03/05/1928,19.93,19.93,19.93,19.93,19.93,0,0.1,0.504286435,12.853907
04/05/1928,20.24,20.24,20.24,20.24,20.24,0,0.31,1.555444054,14.609287
07/05/1928,20.41,20.41,20.41,20.41,20.41,0,0.17,0.839920949,15.571914
08/05/1928,20.27,20.27,20.27,20.27,20.27,0,-0.14,-0.685938266,14.779162
09/05/1928,20.24,20.24,20.24,20.24,20.24,0,-0.03,-0.148001973,14.609287
10/05/1928,20.209999,20.209999,20.209999,20.209999,20.209999,0,-0.030001,-0.148226285,14.439405
11/05/1928,20.360001,20.360001,20.360001,20.360001,20.360001,0,0.150002,0.742216761,15.288794
14/05/1928,20.440001,20.440001,20.440001,20.440001,20.440001,0,0.08,0.392927289,15.741795
15/05/1928,20.389999,20.389999,20.389999,20.389999,20.389999,0,-0.050002,-0.244628168,15.458658
16/05/1928,20.049999,20.049999,20.049999,20.049999,20.049999,0,-0.34,-1.667484143,13.533403
17/05/1928,20.120001,20.120001,20.120001,20.120001,20.120001,0,0.070002,0.349137175,13.92979
18/05/1928,19.92,19.92,19.92,19.92,19.92,0,-0.200001,-0.994040706,12.797282
21/05/1928,19.629999,19.629999,19.629999,19.629999,19.629999,0,-0.290001,-1.455828313,11.155147
22/05/1928,19.360001,19.360001,19.360001,19.360001,19.360001,0,-0.269998,-1.375435628,9.62628
23/05/1928,19.75,19.75,19.75,19.75,19.75,0,0.389999,2.014457541,11.834655
24/05/1928,19.870001,19.870001,19.870001,19.870001,19.870001,0,0.120001,0.6076,12.514162
25/05/1928,19.9,19.9,19.9,19.9,19.9,0,0.029999,0.150976339,12.684032
28/05/1928,19.57,19.57,19.57,19.57,19.57,0,-0.33,-1.658291457,10.815402
29/05/1928,19.82,19.82,19.82,19.82,19.82,0,0.25,1.277465508,12.231031
31/05/1928,20,20,20,20,20,0,0.18,0.908173562,13.250283
01/06/1928,20.07,20.07,20.07,20.07,20.07,0,0.07,0.35,13.646659
