Date,Open,High,Low,Close,Adj Close,Volume,Gain/Loss,Percentage,YTD
05/01/1965,1257.719971,1257.719971,1257.719971,1257.719971,1257.719971,0,,,
06/01/1965,1263.98999,1263.98999,1263.98999,1263.98999,1263.98999,0,6.270019,0.498522656,
07/01/1965,1274.27002,1274.27002,1274.27002,1274.27002,1274.27002,0,10.28003,0.813299953,
08/01/1965,1286.430054,1286.430054,1286.430054,1286.430054,1286.430054,0,12.160034,0.954274511,
11/01/1965,,,,,,,,0,
12/01/1965,1288.540039,1288.540039,1288.540039,1288.540039,1288.540039,0,,,
13/01/1965,1281.670044,1281.670044,1281.670044,1281.670044,1281.670044,0,-6.869995,-0.533161159,
14/01/1965,1289.5,1289.5,1289.5,1289.5,1289.5,0,7.829956,0.610918234,
15/01/1965,,,,,,,,0,
18/01/1965,1271.680054,1271.680054,1271.680054,1271.680054,1271.680054,0,,,
19/01/1965,1270.339966,1270.339966,1270.339966,1270.339966,1270.339966,0,-1.340088,-0.105379336,
20/01/1965,1268.880005,1268.880005,1268.880005,1268.880005,1268.880005,0,-1.459961,-0.114926794,
21/01/1965,1270.459961,1270.459961,1270.459961,1270.459961,1270.459961,0,1.579956,0.124515793,
22/01/1965,1261.829956,1261.829956,1261.829956,1261.829956,1261.829956,0,-8.630005,-0.679281934,
25/01/1965,1249.719971,1249.719971,1249.719971,1249.719971,1249.719971,0,-12.109985,-0.959716081,
26/01/1965,1248.050049,1248.050049,1248.050049,1248.050049,1248.050049,0,-1.669922,-0.133623695,
27/01/1965,1258.209961,1258.209961,1258.209961,1258.209961,1258.209961,0,10.159912,0.814062866,
28/01/1965,1247.199951,1247.199951,1247.199951,1247.199951,1247.199951,0,-11.01001,-0.875053476,
29/01/1965,1242.27002,1242.27002,1242.27002,1242.27002,1242.27002,0,-4.929931,-0.395279923,
01/02/1965,1242.829956,1242.829956,1242.829956,1242.829956,1242.829956,0,0.559936,0.045073615,
02/02/1965,1238.75,1238.75,1238.75,1238.75,1238.75,0,-4.079956,-0.328279503,
03/02/1965,1248.030029,1248.030029,1248.030029,1248.030029,1248.030029,0,9.280029,0.749144622,
04/02/1965,1261.599976,1261.599976,1261.599976,1261.599976,1261.599976,0,13.569947,1.087309334,
05/02/1965,1263.589966,1263.589966,1263.589966,1263.589966,1263.589966,0,1.98999,0.157735418,
08/02/1965,1258.930054,1258.930054,1258.930054,1258.930054,1258.930054,0,-4.659912,-0.368783555,
09/02/1965,1251.680054,1251.680054,1251.680054,1251.680054,1251.680054,0,-7.25,-0.575885847,
10/02/1965,1248.609985,1248.609985,1248.609985,1248.609985,1248.609985,0,-3.070069,-0.245275859,
11/02/1965,,,,,,,,0,
12/02/1965,1257.939941,1257.939941,1257.939941,1257.939941,1257.939941,0,,,
15/02/1965,1249.5,1249.5,1249.5,1249.5,1249.5,0,-8.439941,-0.670933542,
16/02/1965,1247.01001,1247.01001,1247.01001,1247.01001,1247.01001,0,-2.48999,-0.199278912,
17/02/1965,1237.079956,1237.079956,1237.079956,1237.079956,1237.079956,0,-9.930054,-0.796309085,
18/02/1965,1241.410034,1241.410034,1241.410034,1241.410034,1241.410034,0,4.330078,0.350024101,
19/02/1965,1237.349976,1237.349976,1237.349976,1237.349976,1237.349976,0,-4.060058,-0.327052133,
22/02/1965,1224.819946,1224.819946,1224.819946,1224.819946,1224.819946,0,-12.53003,-1.012650442,
23/02/1965,1223.589966,1223.589966,1223.589966,1223.589966,1223.589966,0,-1.22998,-0.100421291,
24/02/1965,1219.099976,1219.099976,1219.099976,1219.099976,1219.099976,0,-4.48999,-0.366952176,
25/02/1965,1216.709961,1216.709961,1216.709961,1216.709961,1216.709961,0,-2.390015,-0.196047498,
26/02/1965,1213.069946,1213.069946,1213.069946,1213.069946,1213.069946,0,-3.640015,-0.299168669,
01/03/1965,1206.47998,1206.47998,1206.47998,1206.47998,1206.47998,0,-6.589966,-0.543246993,
02/03/1965,1202.540039,1202.540039,1202.540039,1202.540039,1202.540039,0,-3.939941,-0.326564971,
03/03/1965,1207.819946,1207.819946,1207.819946,1207.819946,1207.819946,0,5.279907,0.439062886,
04/03/1965,1213.030029,1213.030029,1213.030029,1213.030029,1213.030029,0,5.210083,0.431362557,
05/03/1965,1209.640015,1209.640015,1209.640015,1209.640015,1209.640015,0,-3.390014,-0.279466618,
08/03/1965,1190.97998,1190.97998,1190.97998,1190.97998,1190.97998,0,-18.660035,-1.542610592,
09/03/1965,1178.430054,1178.430054,1178.430054,1178.430054,1178.430054,0,-12.549926,-1.053747856,
10/03/1965,1173.339966,1173.339966,1173.339966,1173.339966,1173.339966,0,-5.090088,-0.431938067,
11/03/1965,1164.630005,1164.630005,1164.630005,1164.630005,1164.630005,0,-8.709961,-0.742322025,
12/03/1965,1175.859985,1175.859985,1175.859985,1175.859985,1175.859985,0,11.22998,0.96425302,
15/03/1965,1188.48999,1188.48999,1188.48999,1188.48999,1188.48999,0,12.630005,1.074107901,
16/03/1965,1181.219971,1181.219971,1181.219971,1181.219971,1181.219971,0,-7.270019,-0.611702165,
17/03/1965,1175.800049,1175.800049,1175.800049,1175.800049,1175.800049,0,-5.419922,-0.45884104,
18/03/1965,1182.689941,1182.689941,1182.689941,1182.689941,1182.689941,0,6.889892,0.585974801,
19/03/1965,1175.880005,1175.880005,1175.880005,1175.880005,1175.880005,0,-6.809936,-0.575800619,
22/03/1965,,,,,,,,0,
23/03/1965,1167.790039,1167.790039,1167.790039,1167.790039,1167.790039,0,,,
24/03/1965,1157.050049,1157.050049,1157.050049,1157.050049,1157.050049,0,-10.73999,-0.919685015,
25/03/1965,1157.069946,1157.069946,1157.069946,1157.069946,1157.069946,0,0.019897,0.001719632,
26/03/1965,1162.77002,1162.77002,1162.77002,1162.77002,1162.77002,0,5.700074,0.492630028,
29/03/1965,1188.790039,1188.790039,1188.790039,1188.790039,1188.790039,0,26.020019,2.237761428,
30/03/1965,1139.800049,1139.800049,1139.800049,1139.800049,1139.800049,0,-48.98999,-4.120996004,
31/03/1965,1132.77002,1132.77002,1132.77002,1132.77002,1132.77002,0,-7.030029,-0.616777391,
01/04/1965,1127.579956,1127.579956,1127.579956,1127.579956,1127.579956,0,-5.190064,-0.458174555,
02/04/1965,1128.569946,1128.569946,1128.569946,1128.569946,1128.569946,0,0.98999,0.087797765,
05/04/1965,1124.449951,1124.449951,1124.449951,1124.449951,1124.449951,0,-4.119995,-0.365063328,
06/04/1965,1154.390015,1154.390015,1154.390015,1154.390015,1154.390015,0,29.940064,2.662640874,
07/04/1965,1159.97998,1159.97998,1159.97998,1159.97998,1159.97998,0,5.589965,0.484235391,
08/04/1965,1183.119995,1183.119995,1183.119995,1183.119995,1183.119995,0,23.140015,1.994863308,
09/04/1965,1180.569946,1180.569946,1180.569946,1180.569946,1180.569946,0,-2.550049,-0.215535957,
12/04/1965,1163,1163,1163,1163,1163,0,-17.569946,-1.488259638,
13/04/1965,1149.410034,1149.410034,1149.410034,1149.410034,1149.410034,0,-13.589966,-1.168526741,
14/04/1965,1142.22998,1142.22998,1142.22998,1142.22998,1142.22998,0,-7.180054,-0.624672988,
15/04/1965,1161.72998,1161.72998,1161.72998,1161.72998,1161.72998,0,19.5,1.707186849,
16/04/1965,1148.209961,1148.209961,1148.209961,1148.209961,1148.209961,0,-13.520019,-1.163783257,
